rank,phrase,count,n
294,mitad del,5,2
295,i de,5,2
296,portugal y,5,2
297,los reinos,5,2
298,las lenguas,5,2
299,español y,5,2
300,catedral de,5,2
301,llegada de,5,2
302,la familia,5,2
303,se convirtieron,5,2
304,grado de,5,2
305,del valle,5,2
306,núcleos urbanos,5,2
307,la construcción,5,2
308,y león,5,2
309,de navarra,5,2
310,el apoyo,5,2
311,sede del,5,2
312,política y,5,2
313,aragón la,5,2
314,las obras,5,2
315,el tratado,5,2
316,tratado de,5,2
317,de pedro,5,2
318,de oro,5,2
319,desarrollo de,5,2
320,de isabel,5,2
321,la política,5,2
322,la cultura,5,2
323,independencia española,5,2
324,de independencia,5,2
325,isabel ii,5,2
326,mayo de,5,2
327,de marzo,5,2
328,marzo de,5,2
329,de san,5,2
330,la actualidad,5,2
331,gobierno en,5,2
332,las distintas,5,2
333,a finales,5,2
334,ley de,5,2
335,el congreso,5,2
336,los juegos,5,2
337,juegos olímpicos,5,2
338,olímpicos de,5,2
339,tasa de,5,2
340,vasco y,5,2
341,siglo xxi,5,2
342,una alta,5,2
343,sector de,5,2
344,aeropuerto de,5,2
345,los españoles,5,2
346,un sistema,5,2
347,mayor número,5,2
348,españa cuenta,5,2
349,especialmente en,5,2
350,europa y,5,2
351,general de,5,2
352,nacional y,5,2
353,de derechos,5,2
354,estatus de,5,2
355,bandera de,5,2
356,los municipios,5,2
357,estatuto de,5,2
358,países europeos,5,2
359,la mitad,5,2
360,en menor,5,2
361,menor medida,5,2
362,población extranjera,5,2
363,vivienda en,5,2
364,áreas metropolitanas,5,2
365,el saldo,5,2
366,millones en,5,2
367,los trabajadores,5,2
368,a nivel,5,2
369,las exportaciones,5,2
370,españoles se,5,2
371,el turismo,5,2
372,bienes de,5,2
373,de bienes,5,2
374,potencia instalada,5,2
375,de viajeros,5,2
376,e histórica,5,2
377,el museo,5,2
378,literatura de,5,2
379,hablado también,5,2
380,monarquía parlamentaria,4,2
381,dos ciudades,4,2
382,autónomas y,4,2
383,en europa,4,2
384,ocupa la,4,2
385,islas baleares,4,2
386,mar mediterráneo,4,2
387,mediterráneo en,4,2
388,el océano,4,2
389,océano atlántico,4,2
390,atlántico y,4,2
391,el conjunto,4,2
392,país más,4,2
393,de habitantes,4,2
394,densidad de,4,2
395,al sur,4,2
396,sus territorios,4,2
397,toda españa,4,2
398,segunda lengua,4,2
399,acervo cultural,4,2
400,mundo y,4,2
401,segundo país,4,2
402,de turistas,4,2
403,del turismo,4,2
404,el informe,4,2
405,el consejo,4,2
406,consejo de,4,2
407,la otan,4,2
408,de años,4,2
409,descubrimiento de,4,2
410,siglo iii,4,2
411,los musulmanes,4,2
412,unión dinástica,4,2
413,dinástica de,4,2
414,las coronas,4,2
415,coronas de,4,2
416,aragón y,4,2
417,la reconquista,4,2
418,edad moderna,4,2
419,cultural y,4,2
420,en américa,4,2
421,golpe de,4,2
422,la dictadura,4,2
423,de francisco,4,2
424,desarrollo económico,4,2
425,país ha,4,2
426,del nombre,4,2
427,los autores,4,2
428,su origen,4,2
429,la época,4,2
430,tiempo que,4,2
431,principios de,4,2
432,miguel de,4,2
433,la posición,4,2
434,seguridad y,4,2
435,los reyes,4,2
436,la pérdida,4,2
437,pérdida de,4,2
438,españa no,4,2
439,en tiempos,4,2
440,la españa,4,2
441,alfonso x,4,2
442,ii de,4,2
443,reinos de,4,2
444,su matrimonio,4,2
445,matrimonio con,4,2
446,la catedral,4,2
447,de cádiz,4,2
448,españa véanse,4,2
449,la llegada,4,2
450,edad de,4,2
451,del arte,4,2
452,en torno,4,2
453,del atlántico,4,2
454,primera guerra,4,2
455,produjo una,4,2
456,presencia de,4,2
457,política de,4,2
458,grupo de,4,2
459,la autoridad,4,2
460,acceso a,4,2
461,el carácter,4,2
462,convirtieron en,4,2
463,que terminó,4,2
464,crecimiento económico,4,2
465,iii el,4,2
466,el sistema,4,2
467,sistema de,4,2
468,población en,4,2
469,se produjeron,4,2
470,de zaragoza,4,2
471,i el,4,2
472,navarra y,4,2
473,castilla que,4,2
474,cataluña en,4,2
475,rey y,4,2
476,de salamanca,4,2
477,de granada,4,2
478,de influencia,4,2
479,barcelona y,4,2
480,las primeras,4,2
481,al rey,4,2
482,la expansión,4,2
483,las instituciones,4,2
484,régimen de,4,2
485,se convirtió,4,2
486,convirtió en,4,2
487,siglo de,4,2
488,de sucesión,4,2
489,españoles en,4,2
490,de carlos,4,2
491,revolución de,4,2
492,el cambio,4,2
493,el ejército,4,2
494,situado en,4,2
495,para españa,4,2
496,declaración de,4,2
497,los partidos,4,2
498,de edad,4,2
499,alfonso xiii,4,2
500,civil española,4,2
501,derecho a,4,2
502,julio de,4,2
503,al año,4,2
504,un fuerte,4,2
505,adolfo suárez,4,2
506,de noviembre,4,2
507,investido presidente,4,2
508,el grupo,4,2
509,mayoría absoluta,4,2
510,el partido,4,2
511,un importante,4,2
512,europea de,4,2
513,el euro,4,2
514,los atentados,4,2
515,de octubre,4,2
516,xx y,4,2
517,país de,4,2
518,de personas,4,2
519,el presidente,4,2
520,cortes generales,4,2
521,el artículo,4,2
522,valle de,4,2
523,tribunal supremo,4,2
524,la pandemia,4,2
525,del congreso,4,2
526,el órgano,4,2
527,años el,4,2
528,los órganos,4,2
529,poder judicial,4,2
530,en materia,4,2
531,materia de,4,2
532,política exterior,4,2
533,de seguridad,4,2
534,país por,4,2
535,las naciones,4,2
536,ciencia y,4,2
537,de naciones,4,2
538,territorio nacional,4,2
539,nacional en,4,2
540,caso de,4,2
541,españa fue,4,2
542,seguido una,4,2
543,valor de,4,2
544,derechos humanos,4,2
545,competencia de,4,2
546,de recibir,4,2
547,recibir y,4,2
548,y procesar,4,2
549,procesar comunicaciones,4,2
550,comunicaciones individuales,4,2
551,individuales por,4,2
552,organización territorial,4,2
553,las entidades,4,2
554,ámbito territorial,4,2
555,territorial inferior,4,2
556,inferior al,4,2
557,al municipio,4,2
558,los niveles,4,2
559,de iure,4,2
560,en andalucía,4,2
561,occidental y,4,2
562,las costas,4,2
563,el principal,4,2
564,cambio climático,4,2
565,años se,4,2
566,una media,4,2
567,otros países,4,2
568,seguida de,4,2
569,superior a,4,2
570,sector servicios,4,2
571,balanza de,4,2
572,de pagos,4,2
573,sector industrial,4,2
574,un periodo,4,2
575,aumento de,4,2
576,las importaciones,4,2
577,españa las,4,2
578,de extremadura,4,2
579,productos químicos,4,2
580,sector del,4,2
581,del automóvil,4,2
582,comunidad valenciana,4,2
583,la empresa,4,2
584,la principal,4,2
585,el banco,4,2
586,infraestructura de,4,2
587,superior al,4,2
588,su mayoría,4,2
589,redes de,4,2
590,energía eólica,4,2
591,la generación,4,2
592,de interés,4,2
593,el aeropuerto,4,2
594,de mercancías,4,2
595,autopistas y,4,2
596,y autovías,4,2
597,en telefonía,4,2
598,del patrimonio,4,2
599,la arquitectura,4,2
600,avanzadas mientras,4,2
