rank,lemma,pos,count
263,batalla,NOUN,12
264,puerto,NOUN,12
265,exportación,NOUN,12
266,color,NOUN,12
267,clima,NOUN,12
268,energía,NOUN,12
269,ocupar,VERB,11
270,atlántico,PROPN,11
271,serie,NOUN,11
272,costa,NOUN,11
273,cinco,NUM,11
274,influencia,NOUN,11
275,iii,PROPN,11
276,cuando,SCONJ,11
277,xix,NOUN,11
278,provocar,VERB,11
279,origen,NOUN,11
280,llevar,VERB,11
281,único,ADJ,11
282,poseer,VERB,11
283,mitad,NOUN,11
284,medida,NOUN,11
285,considerar,VERB,11
286,arte,NOUN,11
287,comercial,ADJ,11
288,construcción,NOUN,11
289,órgano,NOUN,11
290,cristiano,ADJ,11
291,local,ADJ,11
292,valencia,PROPN,11
293,bajo,ADJ,11
294,régimen,NOUN,11
295,peso,NOUN,11
296,final,NOUN,11
297,comunidad,PROPN,11
298,vasco,PROPN,11
299,gasto,NOUN,11
300,ámbito,NOUN,11
301,área,NOUN,11
302,capital,NOUN,10
303,denominado,ADJ,10
304,hablado,ADJ,10
305,numeroso,ADJ,10
306,edad,PROPN,10
307,francisco,PROPN,10
308,democracia,NOUN,10
309,san,PROPN,10
310,lugar,NOUN,10
311,vivir,VERB,10
312,real,PROPN,10
313,suponer,VERB,10
314,partir,NOUN,10
315,entonces,ADV,10
316,cual,PRON,10
317,nación,NOUN,10
318,geográfico,ADJ,10
319,reinado,NOUN,10
320,representar,VERB,10
321,superior,ADJ,10
322,valle,NOUN,10
323,incluso,ADV,10
324,establecer,VERB,10
325,medio,NUM,10
326,galicia,PROPN,10
327,realizar,VERB,10
328,sede,NOUN,10
329,tres,NUM,10
330,católico,ADJ,10
331,felipe,PROPN,10
332,cuatro,NUM,10
333,líder,NOUN,10
334,solo,ADV,10
335,alemania,PROPN,10
336,anual,ADJ,10
337,color,VERB,10
338,vivienda,NOUN,10
339,saldo,NOUN,10
340,déficit,NOUN,10
341,kilómetro,NOUN,10
342,deporte,NOUN,10
343,formado,ADJ,9
344,pirineos,PROPN,9
345,extenso,ADJ,9
346,enero,NOUN,9
347,gozar,VERB,9
348,vida,NOUN,9
349,dentro,ADV,9
350,conquista,NOUN,9
351,musulmán,NOUN,9
352,américa,PROPN,9
353,palabra,NOUN,9
354,autor,NOUN,9
355,tierra,NOUN,9
356,al,DET,9
357,significar,VERB,9
358,recibir,VERB,9
359,victoria,NOUN,9
360,asturias,PROPN,9
361,decir,VERB,9
362,ambos,NUM,9
363,propio,DET,9
364,cristiano,NOUN,9
365,pasar,VERB,9
366,general,NOUN,9
367,ebro,PROPN,9
368,independencia,NOUN,9
369,obtener,VERB,9
370,relación,NOUN,9
371,política,NOUN,9
372,gracias,NOUN,9
373,religión,NOUN,9
374,caracterizar,VERB,9
375,unidos,PROPN,9
376,congreso,PROPN,9
377,infraestructura,NOUN,9
378,diferente,DET,9
379,diciembre,NOUN,9
380,reconocer,VERB,9
381,operador,NOUN,9
382,climático,ADJ,9
383,seguido,ADJ,9
384,generación,NOUN,9
385,democrático,ADJ,8
386,plaza,NOUN,8
387,continente,NOUN,8
388,presencia,NOUN,8
389,constituir,VERB,8
390,frente,NOUN,8
391,gibraltar,PROPN,8
392,idioma,NOUN,8
393,patrimonio,PROPN,8
394,turismo,NOUN,8
395,notable,ADJ,8
396,organización,NOUN,8
397,espacio,NOUN,8
398,antes,ADV,8
399,intervención,NOUN,8
400,actual,ADJ,8
401,época,NOUN,8
402,diferente,ADJ,8
403,historia,NOUN,8
404,diverso,DET,8
405,posteriormente,ADV,8
406,miguel,PROPN,8
407,ni,CCONJ,8
408,unidad,NOUN,8
409,aparecer,VERB,8
410,andalucía,PROPN,8
411,matrimonio,NOUN,8
412,antiguo,ADJ,8
413,cultura,NOUN,8
414,interés,NOUN,8
415,bajo,ADP,8
416,autoridad,NOUN,8
417,occidental,ADJ,8
418,condado,NOUN,8
419,solo,ADJ,8
420,zaragoza,PROPN,8
421,pago,NOUN,8
422,expansión,NOUN,8
423,pedro,PROPN,8
424,isabel,PROPN,8
425,importación,NOUN,8
426,guerra,PROPN,8
427,resultado,NOUN,8
428,persona,NOUN,8
429,sociedad,NOUN,8
430,consecuencia,NOUN,8
431,abril,NOUN,8
432,diputados,PROPN,8
433,palacio,PROPN,8
434,español,PROPN,8
435,valor,NOUN,8
436,autonómico,ADJ,8
437,tasa,NOUN,8
438,dato,NOUN,8
439,hora,NOUN,8
440,ue,PROPN,8
441,administración,NOUN,8
442,lado,NOUN,8
443,sahara,PROPN,8
444,precipitación,NOUN,8
445,estudio,NOUN,8
446,velocidad,NOUN,8
447,festividad,PROPN,8
448,principalmente,ADV,7
449,baleares,PROPN,7
450,cuarto,ADJ,7
451,castellano,NOUN,7
452,declarado,ADJ,7
453,ingreso,NOUN,7
454,miembro,NOUN,7
455,conquistar,VERB,7
456,imperio,NOUN,7
457,principios,NOUN,7
458,situación,NOUN,7
459,proclamar,VERB,7
460,transición,NOUN,7
461,hacia,ADP,7
462,continuar,VERB,7
463,fenicio,NOUN,7
464,tomar,VERB,7
465,referencia,NOUN,7
466,pesar,NOUN,7
467,línea,NOUN,7
468,respecto,NOUN,7
469,visigodo,ADJ,7
470,situado,ADJ,7
471,después,ADV,7
472,ante,ADP,7
473,resultar,VERB,7
474,distinto,ADJ,7
475,similar,ADJ,7
476,huesca,PROPN,7
477,véanse,PROPN,7
478,particularmente,ADV,7
479,alcanzar,VERB,7
480,familia,NOUN,7
481,siguiente,ADJ,7
482,grado,NOUN,7
483,estatal,ADJ,7
484,lograr,VERB,7
485,principio,NOUN,7
486,puesto,NOUN,7
487,ejercer,VERB,7
488,revuelta,NOUN,7
489,grave,ADJ,7
490,condición,NOUN,7
491,amplio,ADJ,7
492,ramón,PROPN,7
493,vii,PROPN,7
494,artístico,ADJ,7
495,acuerdo,NOUN,7
496,destacado,ADJ,7
497,institución,NOUN,7
498,siglo,PROPN,7
499,fundamentalmente,ADV,7
500,movimiento,NOUN,7
501,sánchez,PROPN,7
502,equipo,NOUN,7
503,independencia,PROPN,7
504,mayo,NOUN,7
505,conocer,VERB,7
506,atentado,NOUN,7
507,autonomía,PROPN,7
508,investir,VERB,7
509,ley,PROPN,7
510,celebrar,VERB,7
511,tren,NOUN,7
512,ferroviario,ADJ,7
513,tribunal,PROPN,7
514,medio,NOUN,7
515,otro,ADJ,7
516,tecnología,NOUN,7
517,debido,ADJ,7
518,protección,NOUN,7
519,cifra,NOUN,7
520,variedad,NOUN,7
521,superávit,NOUN,7
522,positivo,ADJ,7
523,renovable,ADJ,7
524,cuanto,NOUN,7
525,estilo,NOUN,7
526,parlamentario,ADJ,6
527,océano,NOUN,6
528,montañoso,ADJ,6
529,frontera,NOUN,6
530,río,NOUN,6
531,humanidad,PROPN,6
532,turista,NOUN,6
533,onu,PROPN,6
534,naciones,PROPN,6
535,unidas,PROPN,6
536,mundial,PROPN,6
537,ocde,PROPN,6
538,aún,ADV,6
539,posterior,ADJ,6
540,constitucional,ADJ,6
541,dictadura,NOUN,6
542,momento,NOUN,6
543,iniciar,VERB,6
544,referéndum,NOUN,6
545,véase,PROPN,6
546,cádiz,PROPN,6
547,romano,NOUN,6
548,designar,VERB,6
549,alguno,PRON,6
550,maría,PROPN,6
551,ruta,NOUN,6
552,antonio,PROPN,6
553,isidoro,PROPN,6
554,declarar,VERB,6
555,respectivamente,ADV,6
556,rico,ADJ,6
557,moderno,ADJ,6
558,dominio,NOUN,6
559,tercer,ADJ,6
560,importancia,NOUN,6
561,santiago,PROPN,6
562,catedral,NOUN,6
563,española,PROPN,6
564,definir,VERB,6
565,determinar,VERB,6
566,llegada,NOUN,6
567,riqueza,NOUN,6
568,materia,NOUN,6
569,efectivo,ADJ,6
570,diversidad,NOUN,6
571,avanzado,ADJ,6
572,acceso,NOUN,6
573,nominal,ADJ,6
574,conseguir,VERB,6
575,central,ADJ,6
576,constante,ADJ,6
577,coalición,NOUN,6
578,trono,NOUN,6
579,cierto,DET,6
580,corriente,NOUN,6
581,apoyo,NOUN,6
582,excepto,ADP,6
583,respectivo,ADJ,6
584,problema,NOUN,6
585,sucesión,NOUN,6
586,precio,NOUN,6
587,modelo,NOUN,6
588,revolución,PROPN,6
589,contemporáneo,ADJ,6
590,ejército,NOUN,6
591,museo,PROPN,6
592,unido,PROPN,6
593,marzo,NOUN,6
594,función,NOUN,6
595,máximo,ADJ,6
596,presentar,VERB,6
597,universal,ADJ,6
598,aprobar,VERB,6
599,política,PROPN,6
600,octubre,NOUN,6
601,terrorista,ADJ,6
602,armadas,PROPN,6
603,euro,NOUN,6
604,efecto,NOUN,6
605,garantizar,VERB,6
606,legal,ADJ,6
607,tercero,ADJ,6
608,actualmente,ADV,6
609,asimismo,ADV,6
610,históricamente,ADV,6
611,fuerzas,PROPN,6
612,ministerio,PROPN,6
613,dólares,NOUN,6
614,capacidad,NOUN,6
615,total,NOUN,6
616,generar,VERB,6
617,km,NUM,6
618,temperatura,NOUN,6
619,extranjero,NOUN,6
620,metropolitano,ADJ,6
621,demográfico,ADJ,6
622,extranjero,ADJ,6
623,procedente,ADJ,6
624,vía,NOUN,6
625,polo,NOUN,6
626,bilbao,PROPN,6
627,automóvil,NOUN,6
628,inversión,NOUN,6
629,mercancía,NOUN,6
